 n_tracks  m_inv_GeV  N_e  N_mu  N_K  N_p
        2   2.445999    0     0    0    1
        2   2.546276    0     0    0    1
        2   2.466846    0     0    0    1
        2   2.404206    0     0    0    0
        2   2.380346    0     0    0    1
        2   2.493478    0     0    0    2
        2   2.560614    0     0    0    1
        2   2.462758    0     0    0    1
        2   2.530686    0     0    0    2
        2   2.452348    0     0    0    1
        2   2.499531    0     0    0    1
        2   2.505197    0     0    0    1
        2   2.458559    0     0    0    1
        2   2.538615    0     0    0    1
        2   2.502153    0     0    0    1
        2   2.525012    0     0    0    2
        2   2.401212    0     0    0    1
        2   2.487802    0     0    0    0
        2   2.448940    0     0    0    0
        2   2.501619    0     0    0    1
        2   2.472460    0     0    0    1
        2   2.484983    0     0    0    2
        2   2.433502    0     0    0    2
        2   2.437050    0     0    0    0
        2   2.494755    0     0    0    0
        2   2.428950    0     0    0    0
        2   2.397938    0     0    0    0
        2   2.376542    0     0    0    2
        2   2.494182    0     0    0    1
        2   2.557133    0     0    0    0
        2   2.524979    0     0    0    0
        2   2.480704    0     0    0    1
        2   2.455760    0     0    0    2
        2   2.379209    0     0    0    1
        2   2.440428    0     0    0    0
        2   2.586108    0     0    0    2
        2   2.488730    0     0    0    0
        2   2.522516    0     0    0    1
        2   2.365368    0     0    0    1
        2   2.535257    0     0    0    1
        2   2.523530    0     0    0    2
        2   2.558433    0     0    0    0
        2   2.543043    0     0    0    1
        2   2.502499    0     0    0    0
        2   2.499344    0     0    0    0
        2   2.511616    0     0    0    1
        2   2.499201    0     0    0    1
        2   2.568648    0     0    0    2
        2   2.458309    0     0    0    0
        2   2.492105    0     0    0    0
        2   2.420463    0     0    0    1
        2   2.517933    0     0    0    1
        2   2.514637    0     0    0    1
        2   2.633942    0     0    0    0
        2   2.535577    0     0    0    1
        2   2.412204    0     0    0    1
        2   2.428544    0     0    0    2
        2   2.501982    0     0    0    1
        2   2.405267    0     0    0    1
        2   2.456536    0     0    0    0
        2   2.631905    0     0    0    1
        2   2.430591    0     0    0    0
        2   2.503007    0     0    0    1
        2   2.426800    0     0    0    0
        2   2.530517    0     0    0    1
        2   2.485734    0     0    0    0
        2   2.526156    0     0    0    0
        2   2.409502    0     0    0    0
        2   2.448964    0     0    0    1
        2   2.606773    0     0    0    2
        2   2.471246    0     0    0    2
        2   2.553708    0     0    0    2
        2   2.550472    0     0    0    1
        2   2.468572    0     0    0    2
        2   2.411508    0     0    0    1
        2   2.462023    0     0    0    1
        2   2.478868    0     0    0    2
        2   2.469077    0     0    0    1
        2   2.552056    0     0    0    0
        2   2.488876    0     0    0    1
        2   2.438924    0     0    0    1
        2   2.500546    0     0    0    2
        2   2.456027    0     0    0    1
        2   2.483693    0     0    0    1
        2   2.492911    0     0    0    2
        2   2.552599    0     0    0    0
        2   2.484423    0     0    0    1
        2   2.493627    0     0    0    0
        2   2.538339    0     0    0    1
        2   2.549724    0     0    0    0
        2   2.517500    0     0    0    0
        2   2.585250    0     0    0    1
        2   2.492842    0     0    0    0
        2   2.539842    0     0    0    0
        2   2.422249    0     0    0    1
        2   2.529670    0     0    0    0
        2   2.479321    0     0    0    0
        2   2.501497    0     0    0    1
        2   2.412829    0     0    0    1
        2   2.502503    0     0    0    0
        2   2.505699    0     0    0    1
        2   2.502208    0     0    0    1
        2   2.573609    0     0    0    0
        2   2.564425    0     0    0    1
        2   2.378065    0     0    0    1
        2   2.415504    0     0    0    1
        2   2.563310    0     0    0    0
        2   2.484754    0     0    0    1
        2   2.426556    0     0    0    0
        2   2.650246    0     0    0    1
        2   2.391197    0     0    0    2
        2   2.410847    0     0    0    2
        2   2.529155    0     0    0    2
        2   2.364637    0     0    0    0
        2   2.476450    0     0    0    1
        2   2.448695    0     0    0    0
        2   2.465735    0     0    0    0
        2   2.496917    0     0    0    1
        2   2.538580    0     0    0    2
        2   2.534803    0     0    0    0
        2   2.397093    0     0    0    1
        2   2.368863    0     0    0    0
        2   2.529768    0     0    0    1
        2   2.410845    0     0    0    0
        2   2.522542    0     0    0    0
        2   2.652658    0     0    0    0
        2   2.474164    0     0    0    1
        2   2.501380    0     0    0    2
        2   2.514803    0     0    0    0
        2   2.470513    0     0    0    0
        2   2.540034    0     0    0    0
        2   2.460065    0     0    0    1
        2   2.424949    0     0    0    0
        2   2.450643    0     0    0    1
        2   2.511170    0     0    0    1
        2   2.526507    0     0    0    1
        2   2.453319    0     0    0    1
        2   2.425516    0     0    0    0
        2   2.420394    0     0    0    1
        2   2.459883    0     0    0    1
        2   2.468165    0     0    0    1
        2   2.514288    0     0    0    1
        2   2.429933    0     0    0    0
        2   2.417763    0     0    0    0
        2   2.516492    0     0    0    0
        2   2.630643    0     0    0    1
        2   2.482064    0     0    0    2
        2   2.540434    0     0    0    0
        2   2.511186    0     0    0    0
        2   2.506171    0     0    0    2
        2   2.451803    0     0    0    2
        2   2.483943    0     0    0    0
        2   2.408565    0     0    0    0
        2   2.434964    0     0    0    1
        2   2.438781    0     0    0    0
        2   2.415012    0     0    0    1
        2   2.436094    0     0    0    0
        2   2.451053    0     0    0    2
        2   2.387922    0     0    0    1
        2   2.474578    0     0    0    2
        2   2.496469    0     0    0    0
        2   2.462141    0     0    0    1
        2   2.497437    0     0    0    0
        2   2.440396    0     0    0    2
        2   2.526848    0     0    0    0
        2   2.438758    0     0    0    1
